car,move
M,2
S,-3
A,1
E,1
I,-2
G,-1
T,-1
U,-1
P,1
K,1
A,-1
G,1
A,1
I,1
G,-1
A,-1
B,1
A,1
G,1
A,-1
B,-1
I,1
A,1
G,-1
A,-1
B,1
A,1
B,1
A,-1
A,-1
B,-1
F,-1
I,-1
J,-1
G,1
I,1
G,-1
B,1
G,1
J,1
B,-1
I,-1
G,-2
I,1
B,1
G,1
E,1
B,-1
I,-1
G,1
E,1
I,1
E,-3
G,-1
J,-1
G,1
K,-1
E,1
G,-1
I,-1
G,1
H,1
G,-1
I,1
B,1
H,-1
G,1
H,1
B,-1
E,-1
G,-1
H,-1
J,1
E,1
I,-1
E,1
G,1
E,-1
G,-2
H,1
G,1
E,1
G,1
E,-1
F,1
A,2
B,-1
G,-1
H,-1
A,-1
I,-1
G,1
A,1
H,1
G,-1
A,-1
G,1
I,1
G,-1
B,1
A,1
H,-1
A,-1
A,-1
K,1
G,1
I,1
A,2
A,-1
B,1
A,1
K,-1
B,-2
G,-1
A,-1
B,1
A,1
B,1
A,-1
A,-1
B,-1
E,-1
A,2
B,-1
K,1
A,-1
B,1
A,1
G,1
B,-1
A,-1
B,1
A,-1
G,-1
M,-1
A,2
B,-1
E,1
I,-2
A,-1
G,1
A,1
I,1
G,-1
A,-1
B,1
A,1
G,1
A,-1
B,-1
I,1
A,1
B,1
G,-1
A,-1
B,-1
E,-1
B,1
G,1
A,1
B,-1
A,-1
K,-1
A,1
E,1
I,-2
G,-1
A,-1
G,1
H,1
A,1
G,-1
A,-1
I,1
A,1
H,-1
A,-1
B,1
A,1
G,1
B,-1
M,1
A,-1
B,1
A,1
I,1
A,-1
B,-1
E,-1
A,1
B,1
A,-1
G,-1
B,-1
H,1
A,1
E,1
A,-1
B,1
A,1
B,1
A,-1
A,-1
B,-1
F,-1
B,1
H,-1
E,1
B,-1
G,1
E,-1
G,-2
B,1
G,2
E,1
K,1
B,-1
M,-1
E,-1
G,-1
I,-1
J,-1
G,1
I,1
G,-1
B,1
G,1
J,1
G,-1
E,1
B,-1
I,-1
G,1
E,-1
G,-2
I,1
B,1
K,-1
B,-1
G,1
I,-1
J,-1
G,1
H,1
G,-1
I,1
H,-1
B,1
G,1
B,-1
E,-1
G,-1
K,1
G,1
J,1
G,-1
G,-1
M,1
G,-1
D,5
G,2
C,-1
E,1
H,-1
I,-1
J,-1
D,-1
S,2
C,-1
D,1
G,1
C,1
H,-1
G,-1
C,-1
D,-1
C,1
H,2
C,-1
C,2
D,1
G,1
C,-2
H,-2
S,-4
C,1
H,2
C,-1
H,-1
D,-1
C,1
H,-1
H,2
S,4
H,-2
C,-1
H,1
S,-1
H,-1
S,-2
G,1
C,1
D,1
S,2
C,-1
S,-2
I,1
C,1
S,2
B,1
S,-2
C,-1
S,2
B,-1
D,-1
C,1
I,-1
C,-1
D,-1
C,1
S,-2
C,-1
D,-1
C,1
S,2
C,-1
I,1
C,1
D,1
S,-2
D,1
B,1
S,1
J,1
G,-2
B,-1
H,1
B,1
D,1
C,-1
D,-1
B,-1
E,-1
C,1
D,1
C,-1
E,2
I,-1
C,1
D,-1
C,-1
G,1
C,1
D,1
E,-1
F,1
A,5
B,-1
F,-1
A,-1
G,-2
G,1
C,-1
A,2
E,1
I,-1
X,-1
A,-1
H,-1
X,1
I,1
C,1
G,2
E,-1
S,-1
G,-1
A,-1
I,-1
H,1
C,-1
H,1
A,1
C,2
C,-1
S,-1
J,-1
S,-2
S,6
S,-5
H,-1
S,3
S,-4
S,5
A,1
I,1
A,-2
S,-2
S,1
H,1
A,1
H,-2
S,-2
I,-1
S,4
S,-5
G,-1
O,-1
H,1
I,2
I,-1
A,-1
H,1
A,1
I,1
I,-2
O,1
H,-1
A,1
A,-2
G,1
S,1
S,2
H,1
G,-1
C,-1
G,1
A,2
S,-2
A,-1
S,3
S,1
H,-1
S,-1
A,-1
G,-1
H,1
C,2
A,2
O,-1
A,-1
I,1
O,1
J,1
C,-2
I,1
C,1
I,-2
H,-1
S,1
A,1
S,-1
D,-1
X,-1
A,-1
S,1
S,-2
H,-1
D,1
G,2
X,1
D,-1
G,-3
H,1
A,-1
H,1
A,1
I,1
D,1
A,1
H,-1
I,1
I,-2
S,1
C,-1
G,2
A,-1
H,1
G,-2
X,-1
C,1
H,-1
N,-1
D,-1
G,2
S,-4
S,3
A,-1
D,1
S,2
A,1
E,2
N,-4
E,-2
X,1
S,-2
L,1
Q,-3
J,-1
A,1
R,-1
S,2
A,-1
H,1
S,-2
S,-1
H,-1
S,1
G,-1
O,-1
A,-1
O,2
G,1
A,1
S,-1
L,-1
A,1
L,2
A,-1
D,-1
L,-2
S,2
D,1
C,-1
G,-1
J,1
C,1
H,1
J,-1
A,1
H,-1
D,-1
S,-1
A,-2
C,-1
A,1
D,1
G,1
C,1
D,-1
A,-1
O,-1
A,1
H,-1
D,1
G,-1
O,-1
H,2
S,1
H,-1
S,1
A,-1
A,2
O,2
A,-1
S,-1
L,2
L,-1
D,-1
S,-1
Q,2
D,1
Q,-2
A,1
J,2
X,1
A,-2
A,1
S,2
X,5
