<<<<<<< Updated upstream:data/output_files/8-breadth_first_improver/breadthfirst_improveer_7_162moves.csv
car,move
D,-1
X,1
J,1
G,1
K,1
E,1
E,-1
X,-1
H,-1
A,-1
K,-1
J,1
K,1
G,-1
H,3
J,-1
J,-1
E,-1
J,2
G,1
H,-3
A,-1
C,1
C,1
K,1
K,1
X,1
X,-1
K,-2
K,1
C,-2
K,-2
B,-1
G,-1
J,-1
D,1
A,2
G,1
H,2
G,-1
K,1
D,-1
D,1
H,1
F,-1
A,-1
F,1
A,-1
H,-3
A,1
J,-1
A,1
E,1
H,3
X,2
A,-1
H,-3
K,2
X,-1
K,-2
K,2
D,-1
K,-1
H,3
E,-1
B,1
B,-1
H,-2
A,-1
J,2
H,-1
K,-2
H,1
X,-1
X,1
B,1
K,1
B,-1
J,-2
K,1
K,1
D,1
A,1
K,-3
B,1
K,3
D,-1
K,-3
K,3
J,2
B,1
F,-1
B,-2
B,2
K,-1
H,1
A,-1
K,-1
A,1
H,-1
B,-1
B,-1
K,2
E,1
K,-4
K,4
K,-4
K,2
K,-1
F,1
A,1
F,-1
K,1
X,-1
H,-1
E,1
J,-1
D,1
F,1
E,-1
F,-1
F,1
H,1
H,1
D,-1
J,-1
J,3
B,1
G,1
H,-2
J,1
E,-1
X,1
X,1
B,-1
B,2
X,-1
J,-2
E,1
H,1
E,-1
J,1
H,2
E,1
H,-2
H,2
G,-1
X,1
E,-1
X,-1
H,-2
B,-1
F,-1
X,1
F,1
X,-2
J,-3
E,2
J,2
J,-1
J,-1
H,2
X,1
X,-1
E,-1
H,-3
X,1
B,-1
J,3
J,1
B,1
B,1
B,-2
G,1
D,1
B,2
E,-1
K,-1
B,-2
B,2
B,-2
E,1
X,1
E,-1
K,1
K,-1
B,1
B,-1
E,1
B,1
K,1
K,-1
B,-1
X,-2
B,2
K,1
X,2
B,-1
D,-1
X,-2
J,-2
J,1
K,-1
J,-1
E,-1
K,1
H,3
E,1
J,-1
E,1
X,1
H,-2
H,2
K,-1
X,-1
X,1
X,-1
D,1
B,-1
H,-2
H,2
X,1
G,-1
X,-1
K,1
E,-1
H,-3
H,2
H,-2
X,1
J,-1
A,-1
X,-1
H,3
K,1
K,-1
H,-2
H,1
H,1
H,-2
K,-1
K,1
K,2
J,1
K,-2
J,-1
X,1
A,1
E,1
K,-1
X,-1
D,-1
E,-1
J,3
X,2
F,-1
E,-1
E,1
B,1
E,-1
F,1
H,1
H,-1
X,-2
X,2
F,-1
E,1
B,-1
B,1
H,2
X,-1
B,-1
J,-2
X,-1
H,-1
J,2
H,-1
B,1
B,1
F,1
X,1
H,1
J,-1
A,-1
K,3
H,-2
B,-1
X,-1
G,1
K,-3
B,1
B,-2
B,2
B,-1
H,3
J,-1
E,-1
B,-1
H,-1
H,-1
H,1
G,-1
K,2
E,1
E,-1
K,-2
K,1
H,1
H,-3
K,2
D,1
H,2
D,-1
K,-1
H,-1
K,-2
E,1
J,1
H,2
H,-3
X,1
A,1
F,-1
H,3
H,-3
J,2
J,-3
B,1
H,2
K,-1
B,-1
H,1
J,1
H,-3
H,3
B,2
E,-1
K,1
B,-1
A,-1
J,-1
