<<<<<<< Updated upstream:data/output_files/8-breadth_first_improver/breadthfirst_improver_7_149moves.csv
car,move
L,1
K,1
O,1
H,-1
P,2
AA,-1
AB,-1
AC,-3
AK,-1
H,2
AB,1
AL,-1
AQ,-2
AR,-1
AA,-2
AJ,-1
AP,-1
D,1
H,-1
AH,2
A,-6
B,-6
AA,2
AB,-1
AC,1
I,-1
AI,-1
AQ,1
AR,1
AP,1
P,-1
AA,-2
AJ,1
AQ,1
I,1
B,5
P,1
AA,3
G,-1
AE,-1
AI,-2
H,1
AA,-1
A,1
AG,1
AR,-1
D,-1
F,2
K,-1
AI,3
E,2
P,-2
AE,1
R,-1
AR,1
AI,-2
A,-1
L,-1
B,-2
AA,2
X,-1
C,1
H,-1
AR,-1
J,-1
W,-1
Y,-1
AA,-2
AC,-1
AE,-1
AG,-1
AB,1
R,-1
H,1
M,-1
U,3
AJ,-1
AG,1
P,1
Y,1
J,2
B,2
A,-1
AB,-1
N,1
M,1
U,1
B,-2
R,1
AJ,1
H,-1
W,1
N,-1
U,-1
AA,-1
AR,1
AI,1
I,-1
H,1
N,2
AC,2
AK,1
J,-2
A,2
B,1
C,-1
F,1
H,2
AI,-2
M,1
G,1
Q,-1
L,1
P,1
R,-1
U,1
AA,1
G,-1
AK,-1
A,-1
H,-1
AA,3
M,-1
U,-1
AC,-2
N,-2
AK,1
N,1
AC,3
L,-1
U,1
E,1
AA,1
J,2
B,-1
F,1
E,-1
AA,-5
N,-1
AB,1
O,-1
AA,3
J,-2
M,-1
X,1
T,-2
N,-1
AE,1
X,8
=======
car,move
L,1
K,1
O,1
H,-1
P,2
AA,-1
AB,-1
AC,-3
AK,-1
H,2
AB,1
AL,-1
AQ,-2
AR,-1
AA,-2
AJ,-1
AP,-1
D,1
H,-1
AH,2
A,-6
B,-6
AA,2
AB,-1
AC,1
I,-1
AI,-1
AQ,1
AR,1
AP,1
P,-1
AA,-2
AJ,1
AQ,1
AC,1
I,1
B,4
P,1
AA,3
AC,-1
AE,-1
B,-1
AI,-2
G,-1
B,2
H,1
AA,-1
A,1
AG,1
AR,-1
D,-1
F,2
K,-1
AI,3
E,2
P,-2
AE,1
R,-1
AR,1
AI,-2
A,-1
L,-1
B,-2
AA,2
X,-1
C,1
H,-1
AR,-1
P,1
AA,1
J,2
B,1
A,-1
P,-1
AC,1
B,2
AI,-1
W,-1
A,1
AA,-3
Y,-1
AI,1
AE,-1
B,-3
J,-3
AC,-2
AG,-1
AB,1
R,-1
H,1
M,-1
U,3
AJ,-1
AG,1
P,1
Y,1
J,2
B,2
A,-1
AB,-1
N,1
M,1
U,1
B,-2
R,1
AJ,1
H,-1
W,1
AB,1
N,-1
AA,-1
U,-1
AR,1
AB,-1
AI,1
I,-1
H,1
N,2
AC,2
AK,1
J,-2
A,2
B,1
C,-1
F,1
H,2
AI,-2
M,1
G,1
Q,-1
L,1
P,1
R,-1
AA,3
U,1
AA,-2
G,-1
AK,-1
A,-1
H,-1
AA,3
M,-1
U,-1
AC,-2
N,-2
AK,1
N,1
AC,3
L,-1
U,1
E,1
AA,1
J,2
B,-1
F,1
E,-1
AA,-5
N,-1
AB,1
O,-1
AA,3
J,-2
M,-1
X,1
T,-2
N,-1
AE,1
X,8
>>>>>>> Stashed changes:data/output_files/8-breadth_first_improver/breadthfirst_improver_7_168moves.csv
