car,move
K,1
M,1
H,-1
T,-1
M,-1
G,1
V,1
V,-2
I,-1
U,1
I,1
G,-1
M,1
V,2
M,-1
N,-1
O,-2
U,-1
V,-2
I,-1
U,1
O,2
U,-1
U,2
I,-1
I,2
U,-2
N,1
M,1
K,-1
J,1
V,1
K,1
G,1
I,-4
T,1
U,1
I,1
Q,1
G,-1
I,-1
W,-1
G,1
I,2
U,-1
D,1
U,1
V,1
G,-1
B,3
A,2
D,-1
G,-1
H,1
I,1
I,1
M,-1
H,1
M,1
U,-1
Y,-1
H,1
A,-1
M,-1
N,-1
Y,1
P,1
O,-3
P,-1
G,1
G,1
A,-1
P,-2
I,-1
A,2
P,3
Y,-1
O,3
U,1
A,-1
O,-2
K,1
C,-1
A,-1
Q,-1
L,-1
P,-1
C,1
U,-1
Y,1
V,-4
U,1
Y,-1
V,-2
U,1
M,-1
V,3
V,1
O,1
V,-1
I,1
V,1
H,1
M,1
V,-1
S,1
Y,1
M,1
M,-2
T,-1
W,1
M,1
K,2
U,-1
K,1
T,1
J,-1
Q,1
O,1
A,1
C,-1
A,-1
O,-2
A,1
K,-2
J,2
W,-1
J,-2
K,2
C,1
Y,-1
O,2
S,-1
M,1
V,3
G,-2
Q,-1
G,2
G,-1
L,1
T,-1
G,1
V,-2
G,-2
M,-1
Y,1
O,-1
M,-1
G,2
U,1
G,-1
X,1
A,1
W,-1
O,1
G,1
C,-1
T,1
W,2
G,2
N,1
L,-1
J,1
N,-2
D,1
A,-1
G,-1
L,1
O,-2
A,1
X,1
U,-1
V,2
Z,-1
A,-2
Z,1
X,-1
B,-1
O,1
G,1
N,1
B,1
N,-2
P,-1
G,-1
T,-1
N,1
D,-1
L,-1
P,2
W,-1
P,-1
W,1
N,1
O,1
G,-1
T,1
G,2
J,-1
O,-2
J,2
V,-1
A,2
V,-1
G,-1
A,-1
J,-1
V,2
G,1
A,-1
N,-1
X,1
P,1
P,-2
O,1
Q,-2
P,1
R,-1
G,-2
G,1
A,1
O,-1
O,2
P,1
Q,1
A,-1
R,1
A,1
L,1
Q,2
J,-1
X,5
