car,move
K,-1
B,1
M,1
E,1
K,1
B,-1
S,-4
T,-1
S,-3
M,1
U,-1
I,-1
S,3
S,-2
M,-2
S,3
A,1
M,2
M,-1
I,1
M,-1
A,-1
E,-1
S,-2
B,1
E,1
B,-1
M,2
B,2
M,-2
A,-1
M,2
S,-1
M,-2
G,-1
S,-1
M,2
U,1
A,1
B,-1
M,-2
S,1
M,2
K,-1
A,-1
B,1
F,-1
K,1
M,-1
T,1
J,-1
B,-1
M,1
B,1
R,1
M,-1
J,1
M,-1
J,-1
K,-1
M,1
B,-1
S,-1
R,-1
T,-1
J,1
K,1
M,1
T,1
G,-1
E,-1
T,-1
S,1
K,-1
M,-2
G,2
M,1
K,1
S,2
F,1
T,1
S,1
M,-1
F,-1
G,-2
G,-1
T,-1
D,1
U,-1
D,1
C,-1
U,1
H,-2
C,-1
M,1
C,1
U,-1
H,2
P,1
S,1
C,-1
M,1
H,-2
K,1
D,3
G,1
H,2
C,1
H,-1
G,1
C,-1
E,1
E,1
H,-1
G,2
E,1
E,1
B,1
F,1
A,3
S,-1
B,-1
D,-1
A,-1
A,3
A,-4
A,-1
S,2
B,1
A,1
B,-2
B,1
A,1
A,3
I,-1
D,1
A,-2
B,-1
I,-1
A,1
D,-1
I,1
F,-1
I,1
J,-1
D,1
I,-2
D,-1
S,-1
J,1
S,-1
E,-1
X,-1
G,-1
N,-5
X,1
D,1
I,1
N,1
B,1
N,-1
G,1
E,-2
L,1
S,1
E,2
D,-3
D,1
S,1
B,-1
C,1
N,1
B,1
I,2
C,-1
B,1
I,-1
B,-1
A,1
I,1
D,2
I,-2
Q,-1
Q,-1
E,1
F,1
A,-4
Q,1
A,1
A,2
S,-2
A,-1
B,-1
C,1
S,1
B,1
I,1
A,1
A,-2
C,-1
D,-1
I,-1
R,-1
A,1
R,1
D,1
N,-1
Q,1
A,1
D,-1
Q,-1
Q,-1
D,1
N,1
D,-1
Q,1
A,-4
R,-1
S,1
Q,-1
A,4
S,-2
C,1
A,-3
O,1
J,1
A,-1
F,1
C,-1
Q,1
S,2
F,-1
D,1
F,1
A,3
A,2
S,-2
C,-1
S,2
A,-3
I,1
C,1
A,3
S,-1
C,1
F,-1
X,3
S,1
B,1
C,-1
A,-4
X,1
X,2
