car,move
G,-1
G,-2
K,-3
T,-3
S,-1
K,1
U,-2
G,2
T,1
S,-1
Q,-2
J,-1
G,-2
J,1
L,2
M,-1
T,-1
G,3
K,-2
G,-3
G,1
V,-1
G,-1
G,2
K,2
T,-2
V,-1
K,-2
S,-1
N,-1
J,-1
T,-1
J,1
G,-2
R,-2
G,-1
S,1
R,1
E,1
S,-1
G,1
S,-1
A,1
J,-1
M,-2
L,-1
N,1
L,-1
Q,2
U,1
K,-1
V,-2
U,5
V,2
N,-1
U,-1
Q,-2
V,-1
R,-2
V,1
U,-2
A,1
T,-1
U,-2
N,3
U,-1
S,-1
X,-1
U,3
V,-2
S,1
T,1
S,1
V,2
X,-1
U,-2
K,2
A,-1
H,2
I,-2
K,-1
F,2
A,1
K,-1
U,-1
N,-1
G,-1
B,1
U,5
U,1
K,1
U,-1
F,1
B,-1
U,-1
C,1
U,1
I,2
K,-1
B,1
K,1
A,2
G,1
A,2
A,-4
U,-3
T,-1
K,1
U,4
C,1
B,-1
C,-1
U,-2
U,-2
C,1
U,1
K,-2
C,-2
U,-2
U,1
B,2
U,-2
F,-1
B,-2
F,-1
F,-1
T,1
C,2
U,5
U,-2
C,-2
A,-1
F,3
I,-3
U,-1
F,-3
I,3
H,-1
A,1
U,3
A,-1
G,-1
H,1
I,-3
U,-1
U,-1
C,2
P,-1
W,-1
D,-1
K,1
U,-2
K,-1
N,1
P,-3
W,-1
G,1
S,-2
W,1
P,3
S,2
W,1
P,1
U,-1
K,2
P,-4
O,1
P,2
N,-1
H,3
A,1
X,2
P,-1
X,1
